brand_name,num_products,avg_price,avg_rating,total_loves
The Ordinary,45,12.204444444444446,4.1797466666666665,6628060
Drunk Elephant,38,45.81578947368421,4.13256052631579,3615978
Tatcha,42,60.285714285714285,4.268855,3248121
Glow Recipe,27,34.18518518518518,4.337118518518518,2668539
LANEIGE,26,31.73076923076923,4.298319230769231,2445502
The INKEY List,41,13.441463414634146,4.087846341463415,2201657
SEPHORA COLLECTION,96,14.151041666666666,4.04948125,2155630
fresh,50,45.56,4.22224375,2127726
Youth To The People,27,52.44444444444444,4.334862962962963,1908215
CLINIQUE,90,40.30555555555556,4.034653409090909,1701952
Farmacy,24,42.458333333333336,4.439939130434783,1435855
Sunday Riley,25,69.16,4.153212,1404975
Kiehl's Since 1851,53,48.867924528301884,4.241719565217392,1383848
Supergoop!,36,34.138888888888886,3.896842857142857,1360079
OLEHENRIKSEN,32,44.71875,4.290245161290323,1332287
First Aid Beauty,30,34.733333333333334,4.30952,1313477
Origins,38,41.26315789473684,4.2694289473684215,1238168
Dr. Jart+,40,26.3,4.235,1201156
Paula's Choice,37,40.0,4.400035135135135,1177465
Caudalie,37,57.91891891891892,4.405635135135135,1160047
Peter Thomas Roth,58,56.0,4.156275,1129702
Biossance,23,45.82608695652174,4.107821739130435,1096257
Summer Fridays,13,44.38461538461539,4.301915384615385,1043454
Murad,48,59.708333333333336,4.316330434782609,851280
Herbivore,29,45.724137931034484,4.176237931034483,811949
Dermalogica,48,61.989583333333336,4.525129166666667,752565
Dr. Dennis Gross Skincare,30,83.63333333333334,4.324380000000001,716171
Fenty Skin,22,33.54545454545455,4.271645,713295
Peace Out,15,26.933333333333334,4.259673333333334,707864
Shiseido,56,80.75,4.223542857142857,697998
belif,13,36.0,4.3480083333333335,680607
Skinfix,19,40.21052631578947,4.382426315789473,622654
Kate Somerville,43,78.55813953488372,4.283097674418605,615639
tarte,23,23.0,4.0516000000000005,541090
Isle of Paradise,17,27.0,3.7415470588235293,511590
IT Cosmetics,18,40.69444444444444,4.2475555555555555,440866
Charlotte Tilbury,18,70.0,3.9008944444444444,433472
innisfree,18,21.27777777777778,4.257005555555555,432067
Mario Badescu,41,18.73170731707317,3.9312717948717952,404099
La Mer,33,207.57575757575756,4.15220606060606,402141
Algenist,32,72.375,4.146893548387096,386112
Josie Maran,13,45.23076923076923,4.366476923076923,384390
REN Clean Skincare,22,48.54545454545455,4.300428571428571,380841
Lancôme,31,97.64516129032258,4.317410344827586,365044
SK-II,16,186.4375,4.19224375,349787
Tata Harper,30,105.56666666666666,4.0952464285714285,321722
MILK MAKEUP,8,33.875,4.2,294782
Bobbi Brown,11,69.18181818181819,4.164009090909091,293582
HUM Nutrition,24,30.083333333333332,4.289858333333333,281429
Rosebud Perfume Co.,6,7.5,4.393183333333333,271506
Clarins,33,71.84848484848484,4.130282758620689,265797
KORA Organics,15,51.6,4.313966666666667,257098
Estée Lauder,34,73.55882352941177,4.233745454545455,256905
iNNBEAUTY PROJECT,15,29.6,4.530813333333333,233422
Topicals,2,28.0,3.6634,232082
Slip,4,76.0,3.9032,211742
Dior,29,90.3103448275862,4.253651724137931,211455
Wishful,10,40.8,4.22577,208267
Sulwhasoo,25,97.96,4.5347333333333335,197072
Dr. Brandt Skincare,27,75.07407407407408,3.996351851851852,194762
TAN-LUXE,13,47.76923076923077,4.025815384615385,194129
Mount Lai,9,42.22222222222222,4.2052000000000005,192052
St. Tropez,16,33.25,4.054275,191646
Tower 28 Beauty,3,19.333333333333332,4.1158,177925
COOLA,18,37.44444444444444,4.067788888888889,175316
BeautyBio,30,89.5,4.08116551724138,173566
GLO Science,5,64.4,4.288259999999999,173080
TULA Skincare,30,47.43333333333333,4.180024137931034,168827
Jack Black,8,26.25,4.277371428571429,148510
FOREO,18,144.60888888888888,4.096272222222222,145847
Shani Darden Skin Care,11,261.27272727272725,4.38199,143675
alpyn beauty,12,46.666666666666664,4.627858333333333,134309
Dr. Barbara Sturm,39,184.10256410256412,4.005242105263157,131025
Moon Juice,14,43.42857142857143,4.1313071428571435,126812
Sol de Janeiro,1,18.0,4.1304,118586
Glossier,14,26.071428571428573,4.056542857142857,117989
KORRES,10,43.3,4.343,115708
DERMAFLASH,5,96.6,3.99465,106261
goop,23,63.78260869565217,3.9700304347826085,99264
Wander Beauty,3,29.333333333333332,4.142733333333333,87619
StriVectin,22,71.36363636363636,4.652704761904762,86655
PMD,9,177.88888888888889,4.480566666666666,85340
Evian,3,18.166666666666668,4.5459000000000005,69717
GUERLAIN,11,145.1818181818182,3.831145454545455,69450
Augustinus Bader,13,200.15384615384616,4.275807692307692,65748
NuFACE,15,288.26666666666665,3.53815,65685
INC.redible,4,16.75,4.17675,65391
Alpha-H,9,64.11111111111111,4.378555555555555,62817
JLo Beauty,8,56.5,4.1546375,60941
ILIA,2,55.0,4.03065,60515
CAY SKIN,5,28.0,4.433960000000001,60442
Saint Jane Beauty,8,65.25,4.6024714285714285,57519
Dr. Zenovia Skincare,13,50.53846153846154,4.4508846153846156,54655
MERIT,1,38.0,4.6486,45008
Kosas,2,36.5,4.33395,44974
FaceGym,19,80.57894736842105,4.64645,44512
Naturally Serious,11,32.36363636363637,4.499099999999999,40650
Hyper Skin,5,41.8,4.31064,37707
ROSE INC,8,47.0,4.4807875,36271
Dr. Lara Devgan Scientific Beauty,7,155.0,4.366466666666667,33718
Nécessaire,2,42.5,4.61125,33454
DAMDAM,8,48.125,4.752775,33173
The Outset,8,43.25,4.6437375,32911
EADEM,3,52.0,4.637966666666666,31740
L'Occitane,4,67.25,4.039175,29884
Freck Beauty,2,33.0,4.454750000000001,28038
ONE/SIZE by Patrick Starrr,2,21.0,4.1713000000000005,27684
RANAVAT,8,79.375,4.5875125,26351
WASO,8,34.5,4.43785,26114
HABIT,3,30.0,4.5187333333333335,23952
Koh Gen Do,1,23.0,4.4789,23197
MARA,10,65.8,4.82386,21680
The Nue Co.,9,45.55555555555556,4.538622222222222,18890
Flora + Bast,4,59.125,4.6965,18343
ROSE Ingleton MD,7,64.42857142857143,4.694214285714286,18158
Hourglass,10,90.4,4.680411111111111,18131
Hanni,5,30.4,4.51146,16166
Saie,1,38.0,4.0939,14842
SOBEL SKIN Rx,6,81.83333333333333,4.446,14643
iluminage,1,449.0,3.67,14204
Community Sixty-Six,9,22.88888888888889,3.975755555555556,13855
Prima,2,68.0,4.4395,13142
LAWLESS,1,32.0,4.5976,12625
Skin Laundry,3,15.666666666666666,4.000866666666667,12166
Iconic London,2,27.0,4.54585,11453
lilah b.,2,14.0,4.06155,11271
Jillian Dempsey,1,195.0,4.4328,10451
Danessa Myricks Beauty,1,30.0,4.6269,10153
NUDESTIX,7,31.714285714285715,4.31444,10055
bareMinerals,1,65.0,4.4339,7614
CANOPY,1,150.0,4.4412,7559
Gucci,1,78.0,4.6652,6498
TWEEZERMAN,1,10.0,2.7105,5661
Benefit Cosmetics,6,37.333333333333336,4.669466666666667,5361
Soleil Toujours,3,50.666666666666664,4.444466666666666,4675
Anastasia Beverly Hills,1,45.0,4.5556,4568
Erno Laszlo,3,66.66666666666667,5.0,2497
PROVEN Skincare,1,169.99,4.3397,1660
MACRENE actives,5,147.0,4.889419999999999,1505
Kate McLeod,1,68.0,4.6567,1182
MAKE UP FOR EVER,1,29.0,,1031
caliray,1,48.0,4.5,789
Gisou,1,32.0,4.9474,547
