product_name,brand_name,price_usd,rating,loves_count
Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0,4.3508,1081315
Niacinamide 10% + Zinc 1% Oil Control Serum,The Ordinary,6.0,4.2439,763168
Hyaluronic Acid 2% + B5 Hydrating Serum,The Ordinary,15.7,4.2133,720504
Glycolic Acid 7% Exfoliating Toning Solution,The Ordinary,13.0,4.3456,542743
AHA 30% + BHA 2% Exfoliating Peeling Solution,The Ordinary,9.5,4.5734,533877
Lip Glowy Balm,LANEIGE,18.0,4.3923,471406
Protini Polypeptide Firming Refillable Moisturizer,Drunk Elephant,68.0,3.962,411372
Superfood Antioxidant Cleanser,Youth To The People,39.0,4.2112,404142
Green Clean Makeup Removing Cleansing Balm,Farmacy,36.0,4.4958,403801
Watermelon Glow Niacinamide Dew Drops,Glow Recipe,35.0,4.3975,389213
